{0: 1920, 1: 2867, 5: 276, 6: 285}
{0: 3119, 1: 5042, 5: 397, 6: 443}
{0: 4663, 1: 7546, 5: 537, 6: 714}
{0: 5625, 1: 9239, 5: 665, 6: 831}
{0: 6950, 1: 11585, 5: 814, 6: 926}
{0: 8175, 1: 13697, 5: 958, 6: 1016}
{0: 9493, 1: 16003, 5: 1052, 6: 1201}
{0: 10797, 1: 18332, 5: 1238, 6: 1315}
{0: 11993, 1: 20432, 5: 1334, 6: 1486}
{0: 12834, 1: 21994, 5: 1416, 6: 1651}
{0: 13967, 1: 23949, 5: 1530, 6: 1771}
{0: 15236, 1: 26279, 5: 1722, 6: 2019}
{0: 16288, 1: 28078, 5: 1842, 6: 2168}
{0: 17811, 1: 30479, 5: 2173, 6: 2353}
{0: 18975, 1: 32114, 5: 2303, 6: 2467}
{0: 19555, 1: 34445, 5: 2461, 6: 2582}
{0: 20668, 1: 36384, 5: 2585, 6: 2732}
{0: 22824, 1: 39122, 5: 3294, 6: 2926}
{0: 24178, 1: 41517, 5: 3474, 6: 3084}
{0: 25193, 1: 43283, 5: 3554, 6: 3188}
{0: 27477, 1: 45753, 5: 3826, 6: 3481}
{0: 28616, 1: 47483, 5: 4001, 6: 3612}
{0: 30197, 1: 49950, 5: 4194, 6: 3804}
{0: 31193, 1: 51690, 5: 4252, 6: 3893}
{0: 32830, 1: 54250, 5: 4433, 6: 4060}
{0: 33988, 1: 56246, 5: 4522, 6: 4124}
{0: 36885, 1: 59567, 5: 5299, 6: 4757}
{0: 38148, 1: 61676, 5: 5404, 6: 4824}
{0: 39412, 1: 63939, 5: 5538, 6: 4917}
{0: 40692, 1: 66036, 5: 5647, 6: 5006}
{0: 42476, 1: 68018, 5: 5789, 6: 5341}
{0: 44092, 1: 70478, 5: 5908, 6: 5493}
{0: 45672, 1: 73023, 5: 6076, 6: 5657}
{0: 47074, 1: 74967, 5: 6292, 6: 5884}
{0: 48592, 1: 77555, 5: 6407, 6: 6000}
{0: 49511, 1: 79221, 5: 6496, 6: 6090}
{0: 50556, 1: 80925, 5: 6616, 6: 6211}
{0: 51613, 1: 82906, 5: 6764, 6: 6397}
{0: 52446, 1: 84187, 5: 6891, 6: 6520}
{0: 55951, 1: 86677, 5: 7616, 6: 6722}
{0: 57390, 1: 88980, 5: 7768, 6: 6873}
{0: 58933, 1: 91288, 5: 7907, 6: 6959}
{0: 60528, 1: 93607, 5: 8103, 6: 7167}
{0: 63152, 1: 96287, 5: 8337, 6: 7360}
{0: 64372, 1: 98408, 5: 8431, 6: 7439}
{0: 70035, 1: 107133, 5: 8594, 6: 7670}
{0: 77319, 1: 118973, 5: 8605, 6: 7711}
{0: 358463, 1: 581242, 5: 9222, 6: 8361, 32767: 26}
{0: 366301, 1: 594107, 5: 9230, 6: 8380, 32767: 26}
{0: 373020, 1: 605241, 5: 9256, 6: 8389, 32767: 26}
{0: 379691, 1: 616232, 5: 9263, 6: 8400, 32767: 26}
{0: 385556, 1: 626358, 5: 9281, 6: 8410, 32767: 26}
{0: 393048, 1: 638395, 5: 9326, 6: 8419, 32767: 26}
{0: 400918, 1: 651103, 5: 9342, 6: 8435, 32767: 26}
{0: 410310, 1: 667361, 5: 9359, 6: 8466, 32767: 26}
{0: 416959, 1: 678390, 5: 9383, 6: 8483, 32767: 26}
{0: 424234, 1: 690252, 5: 9401, 6: 8496, 32767: 26}
{0: 430742, 1: 701163, 5: 9408, 6: 8532, 32767: 26}
{0: 436476, 1: 710841, 5: 9444, 6: 8540, 32767: 45}
{0: 436476, 1: 710841, 5: 9444, 6: 8540, 32767: 92}
{0: 436479, 1: 710862, 5: 9444, 6: 8540, 32767: 276}
{0: 436479, 1: 710862, 5: 9444, 6: 8540, 32767: 366}
{0: 436479, 1: 710862, 5: 9444, 6: 8540, 32767: 414}
